dbtimestamp,value
2025-06-04 13:59:31.034710,13487.0
2025-06-04 14:00:18.924200,13505.0
2025-06-04 14:01:10.853609,13514.0
2025-06-04 14:01:58.572478,13518.0
2025-06-04 14:02:49.463259,13528.0
2025-06-04 14:03:41.283917,13543.0
2025-06-04 14:04:36.165675,13557.0
2025-06-04 14:05:29.011900,13565.0
2025-06-04 14:06:22.463908,13564.0
2025-06-04 14:07:16.111905,13558.0
2025-06-04 14:08:11.531632,13583.0
2025-06-04 14:09:02.923915,13564.0
2025-06-04 14:09:51.144400,13552.0
2025-06-04 14:10:42.028808,13549.0
2025-06-04 14:11:34.449783,13566.0
2025-06-04 14:12:26.932828,13581.0
2025-06-04 14:13:15.519434,13572.0
2025-06-04 14:14:03.136470,13563.0
2025-06-04 14:14:52.595930,13575.0
2025-06-04 14:15:41.531419,13555.0
2025-06-04 14:16:29.267874,13570.0
2025-06-04 14:17:20.336963,13567.0
2025-06-04 14:18:13.175938,13576.0
2025-06-04 14:19:01.209340,13608.0
2025-06-04 14:20:00.709250,13616.0
2025-06-04 14:20:48.523078,13619.0
2025-06-04 14:21:40.036336,13644.0
2025-06-04 14:22:40.141578,13640.0
2025-06-04 14:23:30.129122,13652.0
2025-06-04 14:24:18.243479,13614.0
2025-06-04 15:11:15.143071,11059.0
2025-06-04 15:12:02.756345,11441.0
2025-06-04 15:12:51.293816,11450.0
2025-06-04 15:13:38.815229,11446.0
2025-06-04 15:14:26.425328,11449.0
2025-06-04 15:15:13.947291,11492.0
2025-06-04 15:16:01.664612,11509.0
2025-06-04 15:16:49.375267,11521.0
2025-06-04 15:17:37.093688,11540.0
2025-06-04 15:18:24.934211,11535.0
2025-06-04 15:19:12.535172,11543.0
2025-06-04 15:20:00.150232,11541.0
2025-06-04 15:20:47.760554,11539.0
2025-06-04 15:21:35.479278,11540.0
2025-06-04 15:22:23.098368,11526.0
2025-06-04 15:23:10.818719,11522.0
2025-06-04 15:23:58.424766,11541.0
2025-06-04 15:24:46.257130,11537.0
2025-06-04 15:25:33.867424,11539.0
2025-06-04 15:26:21.687230,11548.0
2025-06-04 15:27:09.612684,11586.0
2025-06-04 15:27:57.331384,11601.0
2025-06-04 15:28:45.153397,11624.0
2025-06-04 15:29:32.666652,11629.0
2025-06-04 15:30:20.282941,11645.0
2025-06-04 15:31:08.102116,11644.0
2025-06-04 15:31:55.834210,11651.0
2025-06-04 15:32:43.441445,11661.0
2025-06-04 15:33:33.920593,11680.0
2025-06-04 15:34:21.545945,11694.0
2025-06-04 15:35:10.479934,11691.0
2025-06-04 15:35:58.422258,11691.0
2025-06-04 15:36:46.555516,11693.0
2025-06-04 15:37:34.170405,11684.0
2025-06-04 15:38:21.784533,11682.0
2025-06-04 15:39:09.687653,11688.0
2025-06-04 15:39:59.882253,11660.0
2025-06-04 15:40:50.352944,11651.0
2025-06-04 15:41:40.536868,11642.0
2025-06-04 15:42:28.140865,11652.0
2025-06-04 15:43:15.882161,11628.0
2025-06-04 15:44:03.595263,11616.0
2025-06-04 15:44:51.200614,11612.0
2025-06-04 15:45:38.706995,11612.0
2025-06-04 15:46:26.443083,11611.0
2025-06-04 15:47:14.146168,11601.0
2025-06-04 15:48:01.555357,11601.0
2025-06-04 15:48:49.075919,11590.0
2025-06-04 15:49:36.487970,11606.0
2025-06-04 15:50:23.995470,11625.0
2025-06-04 15:51:11.513799,11600.0
2025-06-04 15:51:59.025487,11610.0
2025-06-04 15:52:46.731466,11614.0
2025-06-04 15:53:34.251076,11620.0
2025-06-04 15:54:21.870147,11624.0
2025-06-04 15:55:09.487739,11630.0
2025-06-04 15:55:58.127793,11633.0
2025-06-04 15:56:45.649066,11606.0
2025-06-04 15:57:33.365553,11619.0
2025-06-04 15:58:21.075426,11591.0
2025-06-04 15:59:08.803801,11600.0
2025-06-04 15:59:56.621430,11606.0
2025-06-04 16:00:44.122650,11597.0
2025-06-04 16:01:31.747087,11590.0
2025-06-04 16:02:19.680047,11585.0
2025-06-04 16:03:07.486302,11585.0
2025-06-04 16:03:55.098518,11590.0
2025-06-04 16:04:42.833689,11583.0
2025-06-04 16:05:30.550820,11570.0
2025-06-04 16:06:18.158561,11573.0
