dbtimestamp,value
2025-06-04 15:53:06.811430,1642.0
2025-06-04 15:53:13.672083,1645.0
2025-06-04 15:53:20.532432,1644.0
2025-06-04 15:53:27.399601,1644.0
2025-06-04 15:53:40.715658,1642.0
2025-06-04 15:53:47.569405,1645.0
2025-06-04 15:53:54.432999,1648.0
2025-06-04 15:54:01.293293,1649.0
2025-06-04 15:54:08.148387,1644.0
2025-06-04 15:54:15.009251,1644.0
2025-06-04 15:54:28.220683,1646.0
2025-06-04 15:54:35.179773,1642.0
2025-06-04 15:54:42.038753,1642.0
2025-06-04 15:54:48.900441,1643.0
2025-06-04 15:54:55.766448,1643.0
2025-06-04 15:55:02.631440,1640.0
2025-06-04 15:55:16.856911,1642.0
2025-06-04 15:55:23.717183,1642.0
2025-06-04 15:55:30.656102,1642.0
2025-06-04 15:55:37.553167,1633.0
2025-06-04 15:55:44.408985,1641.0
2025-06-04 15:55:51.281896,1642.0
2025-06-04 15:56:04.492303,1642.0
2025-06-04 15:56:11.344912,1643.0
2025-06-04 15:56:18.209172,1641.0
2025-06-04 15:56:25.057920,1635.0
2025-06-04 15:56:31.916609,1642.0
2025-06-04 15:56:38.776692,1640.0
2025-06-04 15:56:52.088875,1641.0
2025-06-04 15:56:58.945962,1640.0
2025-06-04 15:57:05.921791,1638.0
2025-06-04 15:57:12.788549,1629.0
2025-06-04 15:57:19.634816,1641.0
2025-06-04 15:57:26.495975,1640.0
2025-06-04 15:57:39.805332,1638.0
2025-06-04 15:57:46.672375,1642.0
2025-06-04 15:57:53.527642,1640.0
2025-06-04 15:58:00.385763,1636.0
2025-06-04 15:58:07.360614,1638.0
2025-06-04 15:58:14.213582,1639.0
2025-06-04 15:58:27.528945,1636.0
2025-06-04 15:58:34.384212,1642.0
2025-06-04 15:58:41.243800,1641.0
2025-06-04 15:58:48.224185,1637.0
2025-06-04 15:58:55.083693,1639.0
2025-06-04 15:59:01.933855,1641.0
2025-06-04 15:59:15.257559,1642.0
2025-06-04 15:59:22.120641,1641.0
2025-06-04 15:59:28.978850,1643.0
2025-06-04 15:59:35.837299,1638.0
2025-06-04 15:59:42.688716,1644.0
2025-06-04 15:59:49.668359,1646.0
2025-06-04 16:00:02.962105,1649.0
2025-06-04 16:00:09.825935,1651.0
2025-06-04 16:00:16.682310,1644.0
2025-06-04 16:00:23.541848,1643.0
2025-06-04 16:00:30.409515,1645.0
2025-06-04 16:00:37.263487,1645.0
2025-06-04 16:00:50.577549,1642.0
2025-06-04 16:00:57.452412,1647.0
2025-06-04 16:01:04.303376,1642.0
2025-06-04 16:01:11.163417,1635.0
2025-06-04 16:01:18.020018,1641.0
2025-06-04 16:01:24.881023,1641.0
2025-06-04 16:01:38.193778,1642.0
2025-06-04 16:01:45.070951,1640.0
2025-06-04 16:01:51.921785,1641.0
2025-06-04 16:01:58.908967,1640.0
2025-06-04 16:02:05.859767,1635.0
2025-06-04 16:02:12.817016,1640.0
2025-06-04 16:02:26.220829,1641.0
2025-06-04 16:02:33.186378,1635.0
2025-06-04 16:02:40.059053,1638.0
2025-06-04 16:02:46.906365,1642.0
2025-06-04 16:02:53.761522,1644.0
2025-06-04 16:03:00.632480,1643.0
2025-06-04 16:03:13.954409,1639.0
2025-06-04 16:03:20.816832,1641.0
2025-06-04 16:03:27.669840,1641.0
2025-06-04 16:03:34.537700,1642.0
2025-06-04 16:03:41.385304,1640.0
2025-06-04 16:03:48.252853,1641.0
2025-06-04 16:04:01.567763,1643.0
2025-06-04 16:04:08.414792,1644.0
2025-06-04 16:04:15.279988,1644.0
2025-06-04 16:04:22.132556,1646.0
2025-06-04 16:04:29.003737,1647.0
2025-06-04 16:04:35.890750,1646.0
2025-06-04 16:04:49.288242,1645.0
2025-06-04 16:04:56.147805,1635.0
2025-06-04 16:05:03.006567,1644.0
2025-06-04 16:05:09.877396,1643.0
2025-06-04 16:05:16.827004,1643.0
2025-06-04 16:05:23.694405,1647.0
2025-06-04 16:05:36.996019,1649.0
2025-06-04 16:05:43.850238,1650.0
2025-06-04 16:05:50.719960,1649.0
2025-06-04 16:05:57.584470,1648.0
2025-06-04 16:06:04.431056,1647.0
2025-06-04 16:06:11.301900,1644.0
